relative_path,filename,hash,filename_dup,hash_dup,conflict_type
zdu-narrativa-app/iCrawler.md,iCrawler.md,c3ec43b5d07613f0cbf7b4011fd71fbf,False,False,Unique
zdu-narrativa-app/README.md,README.md,4f164ce2a9688a5710c7860fba5cf029,True,False,Name Duplicate
zdu-narrativa-app/zdu-storage/readme.md,readme.md,01138f079d15b1b8b4459f215731fc61,True,False,Name Duplicate
zdu-narrativa-app/zdu-storage/blob-inventory/README.md,README.md,132ce5a969a4efc88b8cd578ada60d94,True,False,Name Duplicate
zdu-narrativa-app/zdu-storage/crawlers/readme.md,readme.md,ad60ab19507e9d408d3f9565ec5cc083,True,False,Name Duplicate
zdu-narrativa-app/zdu-storage/specs/ZDU_BLOB_VALIDATION_ENGINE_V1.md,ZDU_BLOB_VALIDATION_ENGINE_V1.md,7862dac0091013db97b89b8c472e12b5,False,False,Unique
zdu-narrativa-app/zdu-storage/specs/README.md,README.md,616d4a2a40b07662de3dc19b4f0acb52,True,False,Name Duplicate
zdu-narrativa-app/zdu-storage/specs/ZDU_BLOB_SYNC_ENGINE_V1.md,ZDU_BLOB_SYNC_ENGINE_V1.md,a8eb7842c48e49172c8bf456dae624c4,False,False,Unique
zdu-narrativa-app/docs/README_COMPONENTES_ZDU.md,README_COMPONENTES_ZDU.md,03763a2f4b92ac009887adfb09a357df,False,False,Unique
zdu-narrativa-app/docs/nodos-operativos.md,nodos-operativos.md,dbb32b3a04a203b5d4ddc5add5566342,False,False,Unique
zdu-narrativa-app/docs/arquitectura-hibrida.md,arquitectura-hibrida.md,74af9b28bf26d85081744e4523359d85,False,False,Unique
zdu-narrativa-app/docs/sincronizacion-qma360.md,sincronizacion-qma360.md,95874fe23bb52b9b3818b17f198af921,False,False,Unique
zdu-narrativa-app/private/changelog.md,changelog.md,22a4bfab66d18b8cdc763551c1bf1db9,False,False,Unique
zdu-narrativa-app/private/readme.md,readme.md,df33ecd2cd54cdd340269650b861681b,True,False,Name Duplicate
zdu-narrativa-app/private/experimental/README.md,README.md,6caf283650332b201aa3dc12d171e788,True,False,Name Duplicate
zdu-narrativa-app/private/infra/ZDU_INFRA_INDEX.md,ZDU_INFRA_INDEX.md,690d2ac683144f51320498c00c2f38be,False,False,Unique
zdu-narrativa-app/private/infra/README_SUPRASTRUCTURE.md,README_SUPRASTRUCTURE.md,bfa0489315af25047a1bf8a4e86adaad,False,False,Unique
zdu-narrativa-app/private/infra/readme.md,readme.md,46497ef8e8ef5740c6102da5ae4b3f0c,True,False,Name Duplicate
zdu-narrativa-app/private/infra/experimental/readme.md,readme.md,ebb4664ca6c1367e71328475a504df09,True,False,Name Duplicate
zdu-narrativa-app/private/infra/experimental/README-AI-MASTER2.md,README-AI-MASTER2.md,925981e4d13e38547e5a166d6afcb855,False,False,Unique
zdu-narrativa-app/private/infra/identity/clerk/README-CLERK-IDENTITY.md,README-CLERK-IDENTITY.md,14ed1a62df40e839dc08c9298a7980fb,False,False,Unique
zdu-narrativa-app/private/infra/identity/clerk/clerk-identity-core.md,clerk-identity-core.md,1d6299776461729b4e33cb79f409eafb,True,False,Name Duplicate
zdu-narrativa-app/private/infra/auth/clerk-supabase-jwt-bridge.md,clerk-supabase-jwt-bridge.md,05871914087bad0c153084c57aa3cd0a,False,False,Unique
zdu-narrativa-app/private/infra/auth/clerk-identity-core.md,clerk-identity-core.md,190992a99e49ee6bf5654bae12288e8d,True,False,Name Duplicate
zdu-narrativa-app/private/infra/auth/jwt/README.md,README.md,f9f7626e7efe18a5b71afe2448972b39,True,False,Name Duplicate
zdu-narrativa-app/private/infra/auth/jwt/README_AUTH.md,README_AUTH.md,6961932892c906d8e3dc00256e325d9c,False,False,Unique
zdu-narrativa-app/private/infra/checkpoints/ZDU_INFRA_MILESTONE_002.md,ZDU_INFRA_MILESTONE_002.md,2e2011a861e8f00b0751856a8003deb4,False,False,Unique
zdu-narrativa-app/private/infra/checkpoints/ZDU_CHECKPOINT_CLEANUP_20250801.md,ZDU_CHECKPOINT_CLEANUP_20250801.md,b03edd6dd5b7156cbd6163b045f9b74c,False,False,Unique
zdu-narrativa-app/private/infra/checkpoints/bitacora-sync-campanas.md,bitacora-sync-campanas.md,42f126b5be1970c98e03dd4a8b347550,False,False,Unique
zdu-narrativa-app/private/infra/checkpoints/zdu_quality_checkpoint_PHASE_IV.md,zdu_quality_checkpoint_PHASE_IV.md,e2f208a12ec2741d133ad7e86e62d9ad,False,False,Unique
zdu-narrativa-app/private/infra/checkpoints/ZDU_SUPABASE_AZURE_SYNC_V1.md,ZDU_SUPABASE_AZURE_SYNC_V1.md,ae1267b8940498659dd91f50f04e5460,False,False,Unique
zdu-narrativa-app/private/infra/checkpoints/readme.md,readme.md,c16228c42b28126709d042600452994a,True,False,Name Duplicate
zdu-narrativa-app/private/infra/checkpoints/ZDU_CONTAINER_VALIDATION_010825.md,ZDU_CONTAINER_VALIDATION_010825.md,fe560c0665b2fd2c832d125a921c9444,False,False,Unique
zdu-narrativa-app/private/infra/checkpoints/ZDU_AUDIT_INFRA_010825.md,ZDU_AUDIT_INFRA_010825.md,d5c3def9dbb438a3f913388d420b25b7,False,False,Unique
zdu-narrativa-app/private/infra/checkpoints/qma360_candado_readmes.md,qma360_candado_readmes.md,54d294e29217fc644c56182e30f261ec,True,True,Name + Content Duplicate
zdu-narrativa-app/private/infra/checkpoints/ZDU_SUPABASE_FOLDER_OPTIMIZATION_V1.md,ZDU_SUPABASE_FOLDER_OPTIMIZATION_V1.md,271d1f0bd073cbf109016efdf4673e00,False,False,Unique
zdu-narrativa-app/private/infra/checkpoints/ZDU_CHECKPOINT_INGESTA_QMA360_20250801.md,ZDU_CHECKPOINT_INGESTA_QMA360_20250801.md,62be17722855157869eb96ca9170a74c,False,False,Unique
zdu-narrativa-app/private/infra/checkpoints/supabase/SUPABASE-STRUCTURE-AUDIT.md,SUPABASE-STRUCTURE-AUDIT.md,48666bf03703483a1cdd346b1c1c54eb,True,False,Name Duplicate
zdu-narrativa-app/private/infra/logs/ingestas/bitacora-ingesta-cdu_20250801.md,bitacora-ingesta-cdu_20250801.md,cb94f020e1e5b76fbac3285fbbe53699,False,False,Unique
zdu-narrativa-app/private/infra/ai/README-ZDU-AI-AGENTS.md,README-ZDU-AI-AGENTS.md,9ddd5f4a5049792faff70630b326c89a,False,False,Unique
zdu-narrativa-app/private/infra/ai/ligas-tecnologias.md,ligas-tecnologias.md,7cc51db44246fcb03c3a6cdeaa5b2af5,False,False,Unique
zdu-narrativa-app/private/infra/ai/README_AI_MANIFEST.md,README_AI_MANIFEST.md,bcd1edc32c8ae7ed2fe7f99dbdc16eca,False,False,Unique
zdu-narrativa-app/private/infra/ai/README-AI-MASTER.md,README-AI-MASTER.md,adba0d839676053640dc4f4ad7ad609f,False,False,Unique
zdu-narrativa-app/private/infra/ai/README.md,README.md,f39832ca878354cb146d4d0c616cdc62,True,False,Name Duplicate
zdu-narrativa-app/private/infra/ai/roadmap.md,roadmap.md,73b04a9666ebe49a1b389a215f14d248,False,False,Unique
zdu-narrativa-app/private/infra/ai/README-AI-INVESTIGACION.md,README-AI-INVESTIGACION.md,0015f1f1ebf8519fd3e8d232eb281d3a,False,False,Unique
zdu-narrativa-app/private/infra/ai/README_AI_CORE.md,README_AI_CORE.md,504e52b9fbe13aefc251fff56d345c28,False,False,Unique
zdu-narrativa-app/private/infra/ai/docs/README-AI-REST.md,README-AI-REST.md,d0c4a1e0387a0a5fdaefca8f81cf6947,False,False,Unique
zdu-narrativa-app/private/infra/ai/docs/README-AI-ROADMAP.md,README-AI-ROADMAP.md,7cf3310fd8afad223af686f6cf1e3c21,False,False,Unique
zdu-narrativa-app/private/infra/ai/genie/README_master_genie.md,README_master_genie.md,af6c7db72f1ccdeed55a6a7644fcae66,False,False,Unique
zdu-narrativa-app/private/infra/ai/modulos-sugeridos/ZDU-WORKFLOW-INTEL.md,ZDU-WORKFLOW-INTEL.md,e409ce1ae263003313d3a8832de1a740,False,False,Unique
zdu-narrativa-app/private/infra/ai/modulos-sugeridos/ZDU-OSS-HEALTHSCAN.md,ZDU-OSS-HEALTHSCAN.md,09c66b6dce31dd86d9ff7c45f8d3cb6f,False,False,Unique
zdu-narrativa-app/private/infra/ai/modulos-sugeridos/ZDU-GITHUB-CONTROL.md,ZDU-GITHUB-CONTROL.md,cf84411f058237dbf65c0044f5f57a25,False,False,Unique
zdu-narrativa-app/private/infra/scripts/README.md,README.md,e971414883f7a4cd9a3f86e5c13e4a3d,True,False,Name Duplicate
zdu-narrativa-app/private/infra/scripts/crawlers/README_CRAWLER_ZDU.md,README_CRAWLER_ZDU.md,76cf2e481720f09f59a4af3af93aa50b,False,False,Unique
zdu-narrativa-app/private/infra/scripts/crawlers/README.md,README.md,5c5c00862dc45e4eafb81c55d43a4d9e,True,False,Name Duplicate
zdu-narrativa-app/private/infra/scripts/crawlers/README-iCrawler.md,README-iCrawler.md,fc3c4c2d43fe249dc4f9b3ded13e9094,False,False,Unique
zdu-narrativa-app/private/infra/scripts/audits/readme.md,readme.md,db5fdbfe7253ec50692eae353076084c,True,False,Name Duplicate
zdu-narrativa-app/private/infra/scripts/audits/runners/README_INTELGEN-MD-AUDIT.md,README_INTELGEN-MD-AUDIT.md,24e53e69d0ada22b0edcac7e15d096d2,False,False,Unique
zdu-narrativa-app/private/infra/scripts/audits/runners/readme.md,readme.md,4ea2408c42a6bee67ab3df033c5e78a4,True,False,Name Duplicate
